timestamp,emitter_status,emitter_records_sent,emitter_latency,emitter_cpu_usage,emitter_memory_usage,cpu_usage,memory_usage,records_extracted,records_loaded,kinesis_lag_ms,is_anomaly,anomaly_type
1788254879,0.0,0.0,0.0,0.0,72249344,0.0,54308864,0.0,0.0,0.0,0,none
1788254884,1.0,1.0,0.0288870334625244,0.0470894487682047,106356736,0.1554759185592185,79114240,0.0,0.0,0.0,0,none
1788254889,1.0,2.0,0.0269534587860107,0.0372443646674876,106983424,0.2642528715381056,93704192,0.0,0.0,0.0,0,none
1788254894,1.0,3.0,0.028505802154541,0.0308054549079823,106745856,0.2461479375,163577856,0.0,0.0,0.0,0,none
1788254899,1.0,4.0,0.0223712921142578,0.0256021014166666,106762240,0.5892257511194381,202948608,0.0,0.0,0.0,0,none
1788254904,1.0,5.0,0.0170669555664062,0.0267586,106762240,0.7816816728303209,800305152,4.0,0.0,0.0,0,none
1788254909,1.0,6.0,0.0186693668365478,0.027431810952011,106770432,0.9088099097778314,1058594816,4.0,4.0,0.0,0,none
1788254914,1.0,7.0,0.0203752517700195,0.0261715269922743,107020288,0.9682888583673576,1234599936,4.0,4.0,0.0,0,none
1788254919,1.0,8.0,0.0219013690948486,0.0243626332656865,106774528,0.9458497634084952,1365278720,4.0,4.0,0.0,0,none
1788254924,1.0,9.0,0.0247881412506103,0.025012074074074,106774528,0.9329855808599816,1383587840,4.0,4.0,0.0,0,none
1788254929,1.0,10.0,0.0247113704681396,0.0251927248083792,107008000,0.932764282028944,1387401216,4.0,4.0,0.0,0,none
1788254934,1.0,11.0,0.0229377746582031,0.0247423549066608,107266048,0.9175624180463138,1388552192,4.0,4.0,0.0,0,none
1788254939,1.0,12.0,0.023815631866455,0.0008954495614035,107048960,0.8430965573605819,1386958848,4.0,4.0,0.0,0,none
1788254944,1.0,13.0,0.0233113765716552,0.0007152410241739,106790912,0.659205971030809,1387229184,4.0,4.0,0.0,0,none
1788254949,1.0,14.0,0.0219213962554931,0.0007515013648771,107040768,0.6534089608935211,1388036096,4.0,4.0,0.0,0,none
1788254954,1.0,15.0,0.0222809314727783,0.0007327254160769,107282432,0.4868571540696997,1388306432,4.0,4.0,0.0,0,none
1788254959,1.0,16.0,0.0236647129058837,0.0007176258251975,107540480,0.2860811223014953,1387556864,4.0,4.0,0.0,0,none
1788254964,1.0,17.0,0.0150632858276367,0.0007587538940809,106803200,0.1198038577908028,1388605440,12.0,12.0,0.0,0,none
1788254969,1.0,18.0,0.0238285064697265,0.0007812356559258,106803200,0.1002928359358364,1392025600,12.0,12.0,0.0,0,none
1788254974,1.0,19.0,0.0225274562835693,0.0007749571493008,107069440,0.077833006579028,1391022080,12.0,12.0,0.0,0,none
1788254979,1.0,20.0,0.0243959426879882,0.0007353813501602,107069440,0.0693320843369702,1391550464,12.0,12.0,0.0,0,none
1788254984,1.0,21.0,0.023900032043457,0.0008073429564774,107839488,0.0703359707878458,1434345472,12.0,12.0,0.0,0,none
1788254989,1.0,22.0,0.0230565071105957,0.0008037396697951,107577344,0.0668573880330506,1434349568,12.0,12.0,0.0,0,none
1788254994,1.0,23.0,0.0210330486297607,0.0007854375648564,107835392,0.0677248618289176,1435115520,12.0,12.0,0.0,0,none
1788254999,1.0,24.0,0.01808762550354,0.0007381377619295,107835392,0.0706913941378711,1434357760,12.0,12.0,0.0,0,none
